Statistic,Total,Average
Games,1928.0,12.51948051948052
PA,5051.0,32.798701298701296
AB,4320.0,28.051948051948052
R,744.0,4.8311688311688314
Hits,1248.0,8.103896103896103
RBI,625.0,4.058441558441558
Doubles,221.0,1.4350649350649352
Triples,16.0,0.1038961038961039
HR,16.0,0.1038961038961039
BB,476.0,3.090909090909091
K,792.0,5.142857142857143
HBP,151.0,0.9805194805194806
SF,39.0,0.2532467532467532
SACB,65.0,0.422077922077922
ROE,155.0,1.0064935064935066
FC,132.0,0.8571428571428571
LOB,1725.0,11.2012987012987
BA,,0.2888888888888888
OBP,,0.3741021548284118
SLG,,0.3585648148148148
OPS,,0.7326669696432266
wOBA,0.33351383874849583,
